time,mTORa,mTORastd,UL0a,Ulkastd,AMPKa,AMPKastd,AUT,AUTstd
0,1,0.062564412,1,0.047309259,1,0.005945667,1,0.053182209
0.5,0.328824908,0.036577836,1.215959331,0.030089312,5.874494001,0.007940526,0.840273466,0.03932118
1.0,0.245583783,0.013485933,1.091621214,0.030927097,12.00608973,0.011788587,0.529402687,0.005570021
1.5,0.406145533,0.084154555,1.719812305,0.044831472,9.293454641,0.003992418,0.410155479,0.005966132
2.0,0.452013067,0.065226772,1.427952695,0.061047458,6.352155462,0.005922431,0.676162595,0.009513058
2.5,0.511601478,0.012471283,0.906771127,0.043057085,6.358520131,0.013293322,0.740537477,0.060338685
3.0,0199496967,0.04980384,1.137744197,0.02028809,9.346884844,0.017812321,0.720402271,0.034561437
3.5,0.163379163,0.118396282,1.414371198,0.03043425,9.580699906,0.060732952,0.857785809,0.032834245
4.0,0.116531919,0.046440746,1.54667199,0.037396576,11.71887078,0.050489414,0.879782035,0.034053145
4.5,0.145393099,0.108651137,1.680091949,0.103195459,4.616744267,0.009345425,0.619162869,0.0014355
5,0.180639585,0.056630771,1.504956356,0.061980514,3.711634044,0.01493883,0.347900681,0.00774846
