time,AMPKa,AMPKastd,ULKa,ULKastd,mTORa,mTORastd,AUT,AUTstd
0,1,0.067656604,1,0.007282431,1,0.009209733,1,0.160639308
2,1.860321839,0.088398702,1.36176072,0.007026907,0.352171577,0.023079826,1.089067157,0.04884318
4,3.443177164,0.180177819,20.8068126,0.019353577,0.299409511,0.025245,1.259286222,0.029487842
6,3.343264288,0.170242971,16.45110413,0.007452884,0.346297603,0.021294282,0.845244831,0.012457894
8,3.672884248,0.137671416,9.160182466,0.003464203,0.349289217,0.022039908,0.658169733,0.010113467
10,2.740823315,0.132532197,6.374963533,0.003406713,0.57061103,0.031963533,1.316401633,0.03368828
12,4.232329022,0.207134429,5.73316192,0.00964441,0.350751886,0.008577468,0.856585369,0.01246765
14,1.145013223,0.087052513,3.103969619,0.00473098,0.59602395,0.018143637,0.743279304,0.0158097
16,2.102491765,0.13085435,8.770873003,0.009112999,0.529733953,0.017262753,1.232444786,0.01851376
18,0.901414418,0.064504417,10.27733311,0.022112312,0.496878457,0.019686393,0.947571478,0.059378502
20,0.583820069,0.049900734,2.841695032,0.007064199,0.396920821,0.010733089,0.755780908,0.061967543
22,0.559442086,0.036924584,10.61101514,0.027485004,0.52932131,0.016238014,1.187976464,0.111017423
24,2.038924787,0.209155226,14.35990179,0.021825889,0.205602189,0.014390649,0.879569116,0.021099796
