reactions,k1,k2,k3,"nM,min",,,,
AMPK+nS=>AMPKa+nS,2733333.333,0,0,0.000164,16666666667,12,,
AMPKa=>AMPK,0.000265,0,0,0.0159,0.016666667,0,,
AMPKa+mTORa=>AMPKa+mTOR,2783333.333,0,0,0.000167,16666666667,12,,
AMPKa+mTORa_ULKa=>AMPKa+mTOR+ULKa,2833333.333,0,0,0.00017,16666666667,12,,
mTORa=>mTOR,0.000280333,0,0,0.01682,0.016666667,-5.3038E-16,,
mTORa+AMPKa=>mTORa+AMPK,2783333.333,0,0,0.000167,16666666667,12,,
ULK+mTORa=mTORa_ULK,2650000,0,0,0.000159,16666666667,12,,
REV / 0.00028 0 0 /,,,,,#DIV/0!,#DIV/0!,0.0168,0.00028
ULKa+mTORa=mTORa_ULK,2633333.333,0,0,0.000158,16666666667,12,,0
REV / 0.000275 0 0 /,,,,,#DIV/0!,#DIV/0!,0.0165,0.000275
AMPKa+ULK=>AMPKa+ULKa,2766666.667,0,0,0.000166,16666666667,12,,0
ULKa=>ULKa+phag,0.000273333,0,0,0.0164,0.016666667,-5.3038E-16,,0
AMPKa+TSC=>AMPKa+TSCa,2850000,0,0,0.000171,16666666667,12,,0
RHEBa+TSCa=>RHEB+TSCa,28166666.67,0,0,0.00169,16666666667,12,,0
RHEBa+mTOR=>RHEBa+mTORa,2833333.333,0,0,0.00017,16666666667,12,,0
RHEB=>RHEBa,0.00025,0,0,0.015,0.016666667,0,,0
ULKa=>ULK,2.82E-05,0,0,0.00169,0.016666667,-1.01254E-15,,0
AMPKa+ULKa=>AMPK+ULKa,2716666.667,0,0,0.000163,16666666667,12,,0
phag+BEC1=>preAUT+BEC1,550000,0,0,0.000033,16666666667,12,,0
phag+BEC1_UVG=>preAUT+BEC1_UVG,2766666.667,0,0,0.000166,16666666667,12,,0
BEC1+UVG=BEC1_UVG,2750000,0,0,0.000165,16666666667,12,,0
REV / 0.00028 0 0 /,,,,,#DIV/0!,#DIV/0!,0.0168,0.00028
REF=>BEC1,3.08E-18,0,0,0.000185,1.66667E-14,-12,,0
BEC1c=>cytc+BEC1c,5.83E-07,0,0,0.000035,0.016666667,-1.92865E-16,,0
BEC1c=>REF,0.001366667,0,0,0.082,0.016666667,-2.16974E-15,,0
phag=>REF,2.80E-05,0,0,0.00168,0.016666667,0,,0
ATG5+phag=>ATG5+AUT,276666666.7,0,0,0.0166,16666666667,12,,0
AUT=>REF,0.000278333,0,0,0.0167,0.016666667,-4.82164E-16,,0
AUT+nS=>AUT+REF,283333333.3,0,0,0.017,16666666667,12,,0
AUT+eS=>AUT+REF,283333333.3,0,0,0.017,16666666667,12,,0
REF=>phag,2.83E-20,0,0,0.0000017,1.66667E-14,-12,,0
eS+PERK=>PERKa,33333.33333,0,0,0.000002,16666666667,12,,0
ATF4a=>phag,2.67E-06,0,0,0.00016,0.016666667,-1.10898E-15,,0
PERKa+ATF4=>PERK+ATF4a,233333333.3,0,0,0.014,16666666667,12,,0
